channel,is_posterior,snr9_when_target9_db,snr9_when_target14_db,snr9_condition_contrast_db,snr14_when_target14_db,snr14_when_target9_db,snr14_condition_contrast_db,amp9_when_target9_uv,amp9_when_target14_uv,amp9_condition_contrast_uv,amp14_when_target14_uv,amp14_when_target9_uv,amp14_condition_contrast_uv
Fpz,False,3.81333199112524,-0.5878684608113396,4.40120045193658,2.4580076792433525,-1.3853243980880567,3.843332077331409,0.272392996953728,0.17919451774896616,0.09319847920476182,0.13653145632552086,0.0847969930367189,0.05173446328880195
Fp2,False,4.936886559178862,0.47097962259117915,4.4659069365876825,2.9659000403123956,-1.4603506785466671,4.4262507188590625,0.29630604404150707,0.18850492138906344,0.10780112265244363,0.14637198910950916,0.09347274250008046,0.0528992466094287
F3,False,4.7564908836514155,-0.6069126472728826,5.363403530924298,3.0363970866696577,-0.8593854719859081,3.895782558655566,0.3012098181181483,0.1762608945204523,0.124948923597696,0.1427888068852266,0.09183590280453786,0.05095290408068874
Fz,False,5.057264866042263,-0.7872877205134718,5.844552586555735,2.974767461592333,-1.8595761211392703,4.834343582731604,0.3032815973279566,0.1746906378713133,0.1285909594566433,0.1431611753471966,0.09018120612862515,0.052979969218571454
F4,False,4.00793344549859,-2.5952258562983586,6.603159301796949,0.5047622640745724,0.12853605131326837,0.37622621276130397,0.2977592657951875,0.1780147516437333,0.11974451415145423,0.11836635375274489,0.10497647616019071,0.01338987759255418
F8,False,3.3417428787582177,-0.8662116631819877,4.207954541940206,2.9123886123347322,-1.2069136585423579,4.11930227087709,0.2663883679331869,0.1810299593970383,0.08535840853614857,0.17582696007437107,0.11297312159083121,0.06285383848353986
FC1,False,4.314881476524884,-1.1654278300115992,5.480309306536483,3.4025751894228193,-0.6663754610513543,4.068950650474173,0.2811958215399535,0.15072248907534688,0.1304733324646066,0.13583994736531982,0.08812732501393784,0.047712622351381975
FC2,False,3.265066008476643,0.21345889111330543,3.0516071173633375,1.4579721216719952,-0.579147457931555,2.03711957960355,0.27691236129632396,0.1837861138519555,0.09312624744436845,0.1182029793713866,0.09895726278883081,0.01924571658255579
FC6,False,3.8433690635177586,-0.5870366554366186,4.430405718954377,2.8735308141215876,-0.3686683104189581,3.2421991245405457,0.2753701587075373,0.19218426430043048,0.0831858944071068,0.15869105539743367,0.12213931524430405,0.03655174015312962
T7,False,-0.4763830388295996,-1.8102674570363084,1.3338844182067089,0.464052627019072,-0.011960962112355861,0.4760135891314279,0.210973256175978,0.1715354444804014,0.03943781169557661,0.15118102923159693,0.13198151769098188,0.019199511540615055
C3,False,3.58631353847413,-1.538057230489609,5.124370768963739,2.4830296533072707,-2.7935811363622265,5.276610789669498,0.20222926008187114,0.10203980821134892,0.10018945187052222,0.10351337763818227,0.06339688210571634,0.040116495532465934
Cz,False,2.4090155181835526,0.5150976121370587,1.893917906046494,1.1392747737296323,-3.3072416997069447,4.446516473436577,0.2081918252552776,0.16680081723165177,0.04139100802362583,0.09598488093366687,0.060687249489169585,0.03529763144449729
C4,False,0.3872281406058339,-1.566174857156448,1.9534029977622818,-1.5320365622547576,-0.9017795750240749,-0.6302569872306827,0.2191318746948724,0.1666513887762855,0.052480485918586894,0.11578030574516422,0.10190090281413965,0.013879402931024576
T8,False,3.456821635297755,-0.06954690775427697,3.526368543052032,2.0725265754705355,-0.29450445350074045,2.367031028971276,0.2386882340079029,0.17064402499135184,0.06804420901655106,0.1484128515433889,0.11655295289783814,0.03185989864555076
CP5,False,-0.39782886610094953,-3.5847654163772353,3.1869365502762856,-0.13822879151785017,-0.12332494532964873,-0.014903846188201439,0.20530176646982443,0.15599681019881764,0.04930495627100678,0.13480612139912693,0.12108718415790438,0.013718937241222542
CP1,False,0.0655250184066019,-5.163415465283566,5.228940483690168,-1.3548039843004185,-0.6648167674833053,-0.6899872168171132,0.17889010961238636,0.11319580568066889,0.06569430393171746,0.07815256381652978,0.07703194681257429,0.001120617003955493
CP6,False,0.8688549165162222,-1.714803893926216,2.5836588104424383,-0.5507452340352859,-0.8302707616340815,0.2795255275987957,0.17299454640869846,0.13887946086424716,0.03411508554445131,0.08785787942278875,0.08888694497155117,-0.00102906554876242
P7,True,3.5747843783978577,-0.22591986548122409,3.800704243879082,0.8254868262034634,-1.2845146220142636,2.110001448217727,0.37304114652197606,0.2358825262663365,0.13715862025563957,0.14253282738507556,0.11229156103154156,0.030241266353533997
P3,True,2.1324099938860273,-1.8939903568817027,4.02640035076773,0.007208455163875449,-1.0373182495307087,1.044526704694584,0.22091504485241198,0.14680191720301622,0.07411312764939576,0.1000912449796691,0.08411043414169728,0.01598081083797183
Pz,True,1.1300895267997604,-0.38292315711048613,1.5130126839102465,1.903528590126323,1.2304464835660667,0.6730821065602564,0.2067311946404596,0.1842791342072846,0.02245206043317502,0.14072124426299495,0.11501514287020563,0.025706101392789324
P4,True,1.3363016072304432,1.4960663642835763,-0.1597647570531331,1.1266631105257825,0.7121468492299109,0.4145162612958716,0.21947859825452629,0.19180421429851935,0.027674383956006937,0.11122171147655165,0.09930466754767818,0.011917043928873466
P8,True,2.5282744527743213,1.1563497646280385,1.3719246881462828,-0.22689149410681467,-0.15157236938870283,-0.07531912471811184,0.270617222153245,0.20341723473318774,0.06719998742005728,0.11703971850515793,0.09592974786345232,0.02110997064170561
POz,True,7.503727530724689,0.3211252364393241,7.182602294285364,6.502837266734349,-1.4667382778840097,7.969575544618358,0.4205890671367104,0.2039871595789447,0.2166019075577657,0.21813351078351007,0.08731679533770387,0.1308167154458062
O1,True,10.947961614263745,-2.582949273888839,13.530910888152583,9.426359343407828,0.22864006835250245,9.197719275055325,0.7602916262024674,0.20284272438746673,0.5574489018150006,0.4073614271145679,0.12932828705566682,0.2780331400589011
Oz,True,11.821453993236744,-3.4814328092327598,15.302886802469505,9.500771026678136,1.5272045030910955,7.97356652358704,0.7969775472500297,0.1768067471855787,0.620170800064451,0.4212049221796995,0.13885911093181472,0.2823458112478848
O2,True,7.653785677626062,-0.5633865856444078,8.21717226327047,7.816650664394939,0.22460988288959846,7.59204078150534,0.5660352360118952,0.26315577402082696,0.30287946199106824,0.359156594347149,0.13348940943316684,0.2256671849139822
AF7,False,0.7112782344111649,-1.2860838291669365,1.9973620635781013,0.4813246309524146,-1.7907686704847439,2.2720933014371587,0.2340295448275814,0.19405551572383922,0.039974029103742176,0.15163436897634502,0.09860601734210643,0.053028351634238594
AF3,False,3.341896523083072,-0.5004542447810939,3.842350767864166,2.4746164091806904,-1.6249812104305252,4.099597619611216,0.27439222664965435,0.1797622838993925,0.09462994275026185,0.1400359204964492,0.08616914705452586,0.05386677344192334
AF4,False,4.786599772085715,0.023143991308821433,4.763455780776893,3.3888287326573283,-0.8222986647781584,4.211127397435487,0.2920402352647876,0.17817627646964856,0.11386395879513905,0.15210833984736552,0.09536696200787753,0.05674137783948799
AF8,False,3.373884779465958,-0.9278103721003221,4.30169515156628,3.066990682363897,-0.6531385291557834,3.7201292115196805,0.26813571359587635,0.18257746730406327,0.08555824629181308,0.17427842049249936,0.11709477177949601,0.057183648713003354
F1,False,4.435241814330954,-0.3735447528954253,4.808786567226379,2.7007114287361063,-0.8514182064860756,3.552129635222182,0.29790910616600563,0.17568867482019646,0.12222043134580918,0.14180656060802535,0.09125409008562854,0.05055247052239681
F2,False,3.63314634476045,-1.0227993588966149,4.655945703657065,2.3118445978772773,-1.3349208747333983,3.6467654726106753,0.2826356816464535,0.18273082406501523,0.09990485758143824,0.1222340859977844,0.09376062604608675,0.028473459951697658
F6,False,3.5236489659474928,-0.9305265587534699,4.454175524700963,3.187751646892849,-1.0076375810275457,4.195389227920395,0.2694526909504097,0.18049733175945876,0.08895535919095093,0.1721996405002763,0.11385203828065789,0.05834760221961842
FC3,False,3.7334352862974214,-3.2288703934552183,6.96230567975264,2.6536171948403378,-1.2279669966118885,3.881584191452226,0.2570614433346597,0.1298948521877006,0.12716659114695908,0.1284859800074361,0.08530450966505888,0.04318147034237722
FCz,False,3.468943431446617,-0.6507986994525528,4.119742130899169,2.681542423102364,-0.9707271969033203,3.6522696200056846,0.2871153562668115,0.16864908390377475,0.11846627236303675,0.11269885717053427,0.08013752073611326,0.03256133643442101
FC4,False,2.9448998005512963,-0.008837325451096455,2.953737126002393,1.791471119943773,-2.845525094979071,4.636996214922844,0.23279941496040815,0.17313306746319237,0.05966634749721578,0.1152655213775757,0.0803455372707899,0.034919984106785804
C5,False,0.8624291929640678,-1.5544579561331981,2.416887149097266,0.6178968527147737,0.36711433101693497,0.2507825216978387,0.21488888892980865,0.153214315547691,0.06167457338211765,0.12610872079153124,0.12356301460959179,0.0025457061819394444
